Close_Last_7_Days,Open_Last_7_Days,Vol_Last_7_Days,High_Last_7_Days,Low_Last_7_Days,MA_VALUE_Last_7_Days,EMA_VALUE_Last_7_Days,Return_Last_7_Days,Estimated_Action_Last_7_Days
2835.4285714285716,2820.8571428571427,115760.71428571429,2844.1428571428573,2813.1428571428573,326887752.4285714,320933267.3354492,0.03586206896551724,0.0
2864.5714285714284,2835.4285714285716,142687.7142857143,2875.285714285714,2828.1428571428573,409769288.85714287,458025619.3083496,0.03262316910785619,0.0
2908.0,2864.5714285714284,190931.57142857142,2922.4285714285716,2860.0,563917562.1428572,707064962.2141113,-0.0070921985815602835,0.0
2948.714285714286,2908.0,251759.42857142858,2973.4285714285716,2899.1428571428573,760136134.8571428,958401420.0544434,0.0,0.0
2981.714285714286,2948.714285714286,326656.14285714284,3009.285714285714,2938.4285714285716,994099549.8571428,1221503294.5117188,0.003896103896103896,0.0
3018.0,2981.714285714286,363326.85714285716,3046.714285714286,2978.4285714285716,1114622893.0,1206406906.0656738,-0.010672703751617076,0.0
3045.285714285714,3018.0,388214.71428571426,3078.8571428571427,3008.714285714286,1193078238.142857,1107925598.02417,0.002942137953579601,0.0
3069.285714285714,3045.285714285714,408988.85714285716,3098.5714285714284,3031.714285714286,1258929599.2857144,1106438246.5449219,0.0029335071707953064,0.0
3079.714285714286,3069.285714285714,421385.5714285714,3110.0,3054.8571428571427,1301360365.142857,1187998921.1716309,0.0006499837504062399,0.0
3076.4285714285716,3079.714285714286,435704.85714285716,3104.285714285714,3062.285714285714,1344349554.2857144,1369085969.1936035,0.0025982461838259174,0.0
3077.4285714285716,3076.4285714285716,655303.4285714285,3096.285714285714,3063.5714285714284,2024075224.4285715,2679705395.802246,-0.0009718172983479105,0.0
3078.0,3077.4285714285716,713788.4285714285,3096.285714285714,3060.5714285714284,2202199395.714286,2718201624.164551,0.0019455252918287938,0.0
3077.714285714286,3078.0,722495.7142857143,3094.5714285714284,3061.285714285714,2228779830.428571,2336138614.8986816,0.012944983818770227,0.0
3087.8571428571427,3077.714285714286,790508.1428571428,3099.5714285714284,3066.8571428571427,2441528914.714286,2315758275.741699,0.04984025559105431,0.0
3119.0,3087.8571428571427,765705.5714285715,3130.714285714286,3081.285714285714,2368913429.857143,1863351751.717041,0.04990870359099209,0.0
3172.285714285714,3119.0,848011.8571428572,3180.714285714286,3123.4285714285716,2672680867.0,2287798848.625,0.020289855072463767,0.0
3235.285714285714,3172.285714285714,864738.2857142857,3253.5714285714284,3176.0,2764788999.428571,2950083568.630127,0.003125,0.0
3298.714285714286,3235.285714285714,634203.5714285715,3323.4285714285716,3239.1428571428573,2084256514.2857144,2205831722.819824,0.001416029453412631,0.0
3363.285714285714,3298.714285714286,548618.8571428572,3389.0,3303.714285714286,1850115851.5714285,1811449680.9196777,-0.032805429864253395,0.0
3410.4285714285716,3363.285714285714,521800.71428571426,3450.714285714286,3351.5714285714284,1784044200.857143,1714402873.2248535,-0.0035087719298245615,0.0
3450.1428571428573,3410.4285714285716,488117.5714285714,3492.1428571428573,3391.714285714286,1698764377.5714285,1433575775.9892578,0.013791079812206572,0.0
3474.285714285714,3450.1428571428573,570404.2857142857,3518.4285714285716,3431.714285714286,1985014684.0,2054340300.4145508,0.03907380607814761,0.0
3494.285714285714,3474.285714285714,508053.71428571426,3538.4285714285716,3445.285714285714,1774780313.0,1865358364.3239746,0.0022284122562674096,0.0
3505.4285714285716,3494.285714285714,506752.0,3544.0,3454.5714285714284,1774527402.857143,1910865103.9628906,-0.006114508060033352,0.0
3511.8571428571427,3505.4285714285716,474553.14285714284,3545.4285714285716,3461.0,1661122890.5714285,1645062786.0200195,-0.015939597315436243,0.0
3509.4285714285716,3511.8571428571427,441047.4285714286,3548.285714285714,3460.8571428571427,1542155221.857143,1339721092.7810059,-0.0005683432793407218,0.0
3523.285714285714,3509.4285714285716,449584.85714285716,3546.8571428571427,3465.285714285714,1573115305.4285715,1396838707.6496582,-0.00398066533977822,0.0
3536.8571428571427,3523.285714285714,422980.28571428574,3560.714285714286,3483.714285714286,1486766327.2857144,1391444940.2895508,-0.0008564087924636027,0.0
3543.285714285714,3536.8571428571427,375715.5714285714,3566.4285714285716,3495.1428571428573,1326446567.857143,1278273663.5634766,-0.0034285714285714284,0.0
3528.714285714286,3543.285714285714,464251.28571428574,3555.5714285714284,3493.0,1628700144.142857,2008456135.9243164,-0.012327981651376147,0.0
3506.8571428571427,3528.714285714286,441100.71428571426,3532.5714285714284,3480.1428571428573,1536801134.7142856,1751637756.6657715,-0.008708272859216255,0.0
3483.8571428571427,3506.8571428571427,455282.4285714286,3510.5714285714284,3458.285714285714,1578739784.142857,1593836769.8496094,0.016105417276720352,0.0
3476.8571428571427,3483.8571428571427,482695.71428571426,3496.4285714285716,3446.4285714285716,1671504829.4285715,1603730983.61792,0.008933717579250721,0.0
3474.5714285714284,3476.8571428571427,486846.5714285714,3496.5714285714284,3450.5714285714284,1686209432.4285715,1510967094.4926758,0.0345615538417595,0.0
3491.5714285714284,3474.5714285714284,519507.0,3512.714285714286,3451.8571428571427,1805690703.5714285,1617016103.194336,-0.014632799558255107,0.0
3501.4285714285716,3491.5714285714284,509893.85714285716,3532.714285714286,3460.4285714285716,1775531465.2857144,1826895975.9472656,-0.01933314653964696,0.0
3503.1428571428573,3501.4285714285716,402634.28571428574,3539.285714285714,3468.5714285714284,1408419838.5714285,1409186389.7524414,0.008571428571428572,0.0
