Date,Average_Polarity
20160511,0.07142857142857142
20160514,0.0380952380952381
20160515,0.012698412698412697
20160516,0.03492063492063493
20160517,0.012698412698412697
20160518,0.022222222222222216
20160521,4.4056469231157e-19
20160523,0.019047619047619046
20160524,0.009523809523809523
20160525,-0.004761904761904762
20160430,0.03174603174603175
20160528,-0.0015873015873015864
20160529,0.020634920634920638
20160530,0.006349206349206349
20160531,-0.0238095238095238
20160601,0.03968253968253969
20160605,0.06825396825396825
20160606,0.022222222222222223
20160607,0.009523809523809523
20160608,0.003174603174603174
20160611,-0.020634920634920634
20160501,-0.026984126984126985
20160612,0.011111111111111112
20160613,0.0031746031746031746
20160614,-0.011111111111111106
20160615,0.02380952380952382
20160618,0.06031746031746033
20160619,0.03650793650793652
20160620,0.007936507936507936
20160621,0.009523809523809525
20160622,0.007936507936507936
20160625,0.05238095238095239
20160502,0.015873015873015872
20160626,0.007936507936507936
20160628,0.05238095238095241
20160629,0.028571428571428577
20160702,-0.026984126984126965
20160703,0.015873015873015872
20160704,-0.01904761904761905
20160705,0.0031746031746031737
20160709,0.026984126984126992
20160710,0.015873015873015876
20160711,0.006349206349206351
20160503,0.036507936507936524
20160712,-0.0063492063492063475
20160717,-0.004761904761904759
20160718,0.004761904761904762
20160719,0.009523809523809523
20160720,0.0015873015873015873
20160723,0.02380952380952381
20160724,-0.003174603174603179
20160725,0.003174603174603176
20160726,-0.0015873015873015914
20160727,0.02222222222222222
20160504,-0.011111111111111106
20160731,-0.009523809523809523
20160801,-0.030158730158730156
20160802,0.0015873015873015877
20160803,0.006349206349206349
20160806,-0.001587301587301583
20160807,-0.004761904761904761
20160808,-0.006349206349206351
20160809,-0.0015873015873015877
20160810,0.05396825396825396
20160813,0.05238095238095239
20160507,0.012698412698412698
20160814,0.017460317460317457
20160815,0.009523809523809523
20160816,-0.006349206349206349
20160817,0.0015873015873015888
20160820,0.06507936507936508
20160821,0.003174603174603175
20160822,0.025396825396825397
20160508,-0.0063492063492063475
20160509,0.004761904761904762
20160510,-0.025396825396825397
