Date,Average Sentiment Score
20160511,0.024309392265193366
20160514,0.0015957446808510687
20160515,0.001550387596899224
20160516,0.03333333333333333
20160517,0.03592233009708738
20160518,0.05178571428571428
20160521,0.04285714285714285
20160523,0.041836734693877546
20160524,0.018279569892473126
20160525,0.01702127659574468
20160430,0.01644144144144144
20160528,0.041025641025641026
20160529,-0.0018691588785046754
20160530,0.01029411764705882
20160531,0.028048780487804875
20160601,-0.009248554913294798
20160605,0.02886178861788618
20160606,0.07684210526315789
20160607,0.026315789473684216
20160608,0.03541666666666667
20160611,0.009638554216867467
20160501,0.0067901234567901226
20160612,-0.006796116504854366
20160613,-0.03508771929824561
20160614,-0.05874999999999999
20160615,-0.030927835051546393
20160618,0.0602409638554217
20160619,0.008737864077669901
20160620,0.028965517241379312
20160621,-0.02888888888888889
20160622,0.053731343283582096
20160625,0.028023598820058993
20160502,0.009722222222222222
20160626,0.04329896907216496
20160628,0.042682926829268296
20160629,0.021782178217821784
20160702,0.010367892976588628
20160703,0.009195402298850573
20160704,0.01111111111111111
20160705,0.0061068702290076335
20160709,0.028699551569506737
20160710,-0.016911764705882352
20160711,0.029285714285714283
20160503,0.05373134328358209
20160717,0.015355086372360844
20160718,0.03255813953488372
20160719,0.038095238095238106
20160725,0.029106029106029108
20160726,0.005042016806722685
20160727,-0.004545454545454544
20160731,0.024074074074074074
20160801,0.041176470588235294
20160802,-0.05333333333333334
20160803,0.07391304347826087
20160504,0.017272727272727273
20160806,0.013333333333333332
20160807,0.04666666666666667
20160808,0.03783783783783783
20160809,0.03773584905660377
20160810,0.042105263157894736
20160813,0.07899159663865545
20160814,0.07297297297297298
20160815,0.016393442622950817
20160816,0.01186440677966102
20160817,0.03157894736842106
20160507,0.02716049382716049
20160820,0.1296551724137931
20160821,0.03773584905660377
20160822,0.08571428571428572
20160823,0.07446808510638298
20160824,0.0045454545454545435
20160827,0.008333333333333333
20160828,0.04594594594594595
20160508,0.025625
20160509,0.06283185840707965
20160510,0.001169590643274855
