Date,Average_Polarity
20160511,0.025730994152046792
20160514,0.0035087719298245827
20160515,0.0011695906432748534
20160516,0.023391812865497085
20160517,0.0216374269005848
20160518,0.050877192982456076
20160521,0.050877192982456076
20160523,0.023976608187134495
20160524,0.009941520467836253
20160525,0.00935672514619883
20160430,0.042105263157894694
20160528,0.05614035087719292
20160529,-0.001169590643274856
20160530,0.0046783625730994136
20160531,0.013450292397660818
20160601,-0.00935672514619885
20160605,0.04152046783625728
20160606,0.04269005847953214
20160607,0.008771929824561401
20160608,0.019883040935672523
20160611,0.009356725146198824
20160501,0.006432748538011693
20160612,-0.0040935672514619895
20160613,-0.01169590643274854
20160614,-0.027485380116959075
20160615,-0.035087719298245626
20160618,0.05847953216374258
20160619,0.005263157894736832
20160620,0.024561403508771926
20160621,-0.022807017543859685
20160622,0.042105263157894694
20160625,0.055555555555555615
20160502,0.008187134502923986
20160626,0.02456140350877194
20160628,0.04093567251461984
20160629,0.012865497076023398
20160702,0.018128654970760244
20160703,0.005263157894736842
20160704,0.007017543859649116
20160705,0.004678362573099402
20160709,0.037426900584795295
20160710,-0.013450292397660818
20160711,0.023976608187134513
20160503,0.04210526315789467
20160717,0.04678362573099416
20160718,0.01637426900584795
20160719,0.00935672514619883
20160725,0.08187134502923964
20160726,0.0035087719298245576
20160727,-0.002923976608187134
20160731,0.029824561403508754
20160801,0.012280701754385965
20160802,-0.023391812865497075
20160803,0.03976608187134498
20160504,0.01111111111111112
20160806,0.014035087719298246
20160807,0.016374269005847958
20160808,0.01637426900584795
20160809,0.011695906432748536
20160810,0.014619883040935677
20160813,0.05497076023391812
20160814,0.015789473684210523
20160815,0.005847953216374269
20160816,0.004093567251461988
20160817,0.0070175438596491255
20160507,0.03859649122807013
20160820,0.10994152046783624
20160821,0.011695906432748537
20160822,0.01754385964912281
20160823,0.02046783625730994
20160824,0.001169590643274854
20160827,0.005263157894736844
20160828,0.009941520467836258
20160508,0.023976608187134485
20160509,0.041520467836257305
20160510,0.0011695906432748575
